
> frontend@0.0.0 dev
> vite


  VITE v7.3.1  ready in 500 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
4:10:22 PM [vite] (client) hmr update /src/components/Login.css
4:10:22 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:11:22 PM [vite] (client) hmr update /src/components/Login.css
4:11:50 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:17:10 PM [vite] (client) hmr update /src/components/Login.css
4:17:10 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:17:21 PM [vite] (client) hmr update /src/components/Login.css
4:17:25 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:22:10 PM [vite] (client) hmr update /src/components/Login.css
4:22:10 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:22:14 PM [vite] (client) hmr update /src/components/Login.css
4:22:15 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:29:51 PM [vite] (client) hmr update /src/components/Login.css
4:29:51 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:30:08 PM [vite] (client) hmr update /src/components/Login.css
4:30:16 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:32:51 PM [vite] (client) hmr update /src/components/Login.css
4:32:51 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:32:58 PM [vite] (client) hmr update /src/components/Login.css
4:33:32 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:39:44 PM [vite] (client) hmr update /src/components/Login.css
4:39:44 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:40:37 PM [vite] (client) hmr update /src/components/Login.css
4:41:15 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:42:57 PM [vite] (client) hmr update /src/components/Login.css
4:42:58 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:43:10 PM [vite] (client) hmr update /src/components/Login.css
4:43:33 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:49:17 PM [vite] (client) hmr update /src/components/Login.css
4:49:17 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:49:30 PM [vite] (client) hmr update /src/components/Login.css
4:49:33 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:53:21 PM [vite] (client) hmr update /src/components/Login.css
4:53:21 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:53:27 PM [vite] (client) hmr update /src/components/Login.css
4:53:28 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:59:51 PM [vite] (client) hmr update /src/components/Login.css
4:59:51 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
4:59:53 PM [vite] (client) hmr update /src/components/Login.css
4:59:54 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
5:04:52 PM [vite] (client) hmr update /src/components/Login.css
5:04:54 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
5:04:56 PM [vite] (client) hmr update /src/components/Login.css
5:05:02 PM [vite] (client) hmr update /src/components/SoilHealthStats.jsx
